id,name,description
1,Fiction,"Books about the future, space, and adventures."
2,Detective,"Puzzles, investigations, and unusual circumstances."
3,Romance,"Love stories, dramas, and family sagas."
4,Science Non-Fiction,"Research, scientific facts, and discoveries."
5,History,"Journey into the past, major events, and famous figures."
6,Poetry,"Verses, rhymes, and poetic imagery."
7,Fantasy,"Magic, epic battles, and fantastical worlds."
8,Classics,"Well-known works by great authors."
9,Biographies,"Lives of notable personalities and their achievements."
10,Psychology,"Personal development, self-awareness, and psychotherapy."
